DateTime,Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Comments
02-09-2022 09:09:13,142.250.82.149,192.168.1.2,19305,65200,O,PA,TCP,120,42,[FLAG]
02-09-2022 09:09:13,142.250.82.149,192.168.1.2,19305,65200,O,PA,TCP,120,98,[FLAG]
02-09-2022 09:09:13,192.168.1.2,142.250.82.149,65200,19305,W,A,TCP,128,40,[SAFE]
02-09-2022 09:09:13,142.250.82.149,192.168.1.2,19305,65200,O,A,TCP,120,40,[SAFE]
02-09-2022 09:09:13,142.250.82.149,192.168.1.2,19305,65200,O,A,TCP,120,40,[SAFE]
02-09-2022 09:09:13,142.250.192.206,192.168.1.2,443,65207,O,PA,TCP,120,425,[PORT][FLAG]
02-09-2022 09:09:14,142.250.192.206,192.168.1.2,443,65207,O,PA,TCP,120,291,[PORT][FLAG]
02-09-2022 09:09:14,192.168.1.2,142.250.192.206,65207,443,W,A,TCP,128,40,[PORT]
02-09-2022 09:09:14,142.250.192.206,192.168.1.2,443,65207,O,PA,TCP,120,111,[PORT][FLAG]
02-09-2022 09:09:15,142.250.192.206,192.168.1.2,443,65207,O,PA,TCP,120,79,[PORT][FLAG]
02-09-2022 09:09:15,192.168.1.2,142.250.192.206,65207,443,W,A,TCP,128,40,[PORT]
02-09-2022 09:09:15,192.168.1.2,142.250.192.206,65207,443,W,PA,TCP,128,79,[PORT][FLAG]
02-09-2022 09:09:16,142.250.82.149,192.168.1.2,19305,65200,O,PA,TCP,120,42,[FLAG]
02-09-2022 09:09:16,142.250.82.149,192.168.1.2,19305,65200,O,PA,TCP,120,98,[FLAG]
02-09-2022 09:09:16,192.168.1.2,142.250.82.149,65200,19305,W,A,TCP,128,40,[SAFE]
02-09-2022 09:09:16,142.250.192.206,192.168.1.2,443,65207,O,A,TCP,120,40,[PORT]
02-09-2022 09:09:16,192.168.1.2,142.250.82.149,65200,19305,W,PA,TCP,128,300,[FLAG]
02-09-2022 09:09:17,142.250.82.149,192.168.1.2,19305,65200,O,A,TCP,120,40,[SAFE]
02-09-2022 09:09:17,192.168.1.2,142.250.82.149,65200,19305,W,PA,TCP,128,300,[FLAG]
02-09-2022 09:09:17,142.250.82.149,192.168.1.2,19305,65200,O,A,TCP,120,40,[SAFE]
02-09-2022 09:09:17,192.168.1.2,142.250.82.149,65200,19305,W,PA,TCP,128,300,[FLAG]
02-09-2022 09:09:17,142.250.82.149,192.168.1.2,19305,65200,O,A,TCP,120,40,[SAFE]
02-09-2022 09:09:17,142.250.82.149,192.168.1.2,19305,65200,O,PA,TCP,120,42,[FLAG]
02-09-2022 09:09:18,142.250.82.149,192.168.1.2,19305,65200,O,PA,TCP,120,102,[FLAG]
02-09-2022 09:09:18,192.168.1.2,142.250.82.149,65200,19305,W,A,TCP,128,40,[SAFE]
